0xPlaygrounds/rig,180,https://github.com/0xPlaygrounds/rig/pull/180,https://patch-diff.githubusercontent.com/raw/0xPlaygrounds/rig/pull/180.patch,False
mdn/yari,12383,https://github.com/mdn/yari/pull/12383,https://patch-diff.githubusercontent.com/raw/mdn/yari/pull/12383.patch,False
mendersoftware/meta-mender,2234,https://github.com/mendersoftware/meta-mender/pull/2234,https://patch-diff.githubusercontent.com/raw/mendersoftware/meta-mender/pull/2234.patch,False
run-llama/llama_index,17405,https://github.com/run-llama/llama_index/pull/17405,https://patch-diff.githubusercontent.com/raw/run-llama/llama_index/pull/17405.patch,False
slack-samples/bolt-python-ai-chatbot,37,https://github.com/slack-samples/bolt-python-ai-chatbot/pull/37,https://patch-diff.githubusercontent.com/raw/slack-samples/bolt-python-ai-chatbot/pull/37.patch,False
BoundaryML/baml,1286,https://github.com/BoundaryML/baml/pull/1286,https://patch-diff.githubusercontent.com/raw/BoundaryML/baml/pull/1286.patch,False
NixOS/nixpkgs,369922,https://github.com/NixOS/nixpkgs/pull/369922,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369922.patch,False
NixOS/nixpkgs,369975,https://github.com/NixOS/nixpkgs/pull/369975,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369975.patch,False
NixOS/nixpkgs,369872,https://github.com/NixOS/nixpkgs/pull/369872,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369872.patch,False
ServiceNow/context-is-key-forecasting,13,https://github.com/ServiceNow/context-is-key-forecasting/pull/13,https://patch-diff.githubusercontent.com/raw/ServiceNow/context-is-key-forecasting/pull/13.patch,False
hangyav/textLSP,46,https://github.com/hangyav/textLSP/pull/46,https://patch-diff.githubusercontent.com/raw/hangyav/textLSP/pull/46.patch,False
ioBroker/ioBroker.javascript,1781,https://github.com/ioBroker/ioBroker.javascript/pull/1781,https://patch-diff.githubusercontent.com/raw/ioBroker/ioBroker.javascript/pull/1781.patch,False
blorm-network/ZerePy,47,https://github.com/blorm-network/ZerePy/pull/47,https://patch-diff.githubusercontent.com/raw/blorm-network/ZerePy/pull/47.patch,False
khulnasoft/gpt-computer-agent,80,https://github.com/khulnasoft/gpt-computer-agent/pull/80,https://patch-diff.githubusercontent.com/raw/khulnasoft/gpt-computer-agent/pull/80.patch,False
0xPlaygrounds/rig,180,https://github.com/0xPlaygrounds/rig/pull/180,https://patch-diff.githubusercontent.com/raw/0xPlaygrounds/rig/pull/180.patch,False
BoundaryML/baml,1286,https://github.com/BoundaryML/baml/pull/1286,https://patch-diff.githubusercontent.com/raw/BoundaryML/baml/pull/1286.patch,False
mdn/yari,12383,https://github.com/mdn/yari/pull/12383,https://patch-diff.githubusercontent.com/raw/mdn/yari/pull/12383.patch,False
mendersoftware/meta-mender,2234,https://github.com/mendersoftware/meta-mender/pull/2234,https://patch-diff.githubusercontent.com/raw/mendersoftware/meta-mender/pull/2234.patch,False
run-llama/llama_index,17405,https://github.com/run-llama/llama_index/pull/17405,https://patch-diff.githubusercontent.com/raw/run-llama/llama_index/pull/17405.patch,False
slack-samples/bolt-python-ai-chatbot,37,https://github.com/slack-samples/bolt-python-ai-chatbot/pull/37,https://patch-diff.githubusercontent.com/raw/slack-samples/bolt-python-ai-chatbot/pull/37.patch,False
NixOS/nixpkgs,369922,https://github.com/NixOS/nixpkgs/pull/369922,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369922.patch,False
NixOS/nixpkgs,369975,https://github.com/NixOS/nixpkgs/pull/369975,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369975.patch,False
NixOS/nixpkgs,369872,https://github.com/NixOS/nixpkgs/pull/369872,https://patch-diff.githubusercontent.com/raw/NixOS/nixpkgs/pull/369872.patch,False
ServiceNow/context-is-key-forecasting,13,https://github.com/ServiceNow/context-is-key-forecasting/pull/13,https://patch-diff.githubusercontent.com/raw/ServiceNow/context-is-key-forecasting/pull/13.patch,False
hangyav/textLSP,46,https://github.com/hangyav/textLSP/pull/46,https://patch-diff.githubusercontent.com/raw/hangyav/textLSP/pull/46.patch,False
blorm-network/ZerePy,47,https://github.com/blorm-network/ZerePy/pull/47,https://patch-diff.githubusercontent.com/raw/blorm-network/ZerePy/pull/47.patch,False
khulnasoft/gpt-computer-agent,80,https://github.com/khulnasoft/gpt-computer-agent/pull/80,https://patch-diff.githubusercontent.com/raw/khulnasoft/gpt-computer-agent/pull/80.patch,False
ioBroker/ioBroker.javascript,1781,https://github.com/ioBroker/ioBroker.javascript/pull/1781,https://patch-diff.githubusercontent.com/raw/ioBroker/ioBroker.javascript/pull/1781.patch,False
